from,to,price,week_day_search,day_search,part_of_day,flight_day
BSB,SAO,877,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,269,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,356,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,379,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,409,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,478,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,614,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,755,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,874,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,920,Tue,09/11/18,tarde,2018-12-20
BSB,RIO,1138,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,333,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,409,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,409,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,428,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,430,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,435,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,466,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,469,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,474,Tue,09/11/18,tarde,2018-12-20
RIO,FLN,500,Tue,09/11/18,tarde,2018-12-20
POA,BSB,271,Tue,09/11/18,tarde,2018-12-20
POA,BSB,321,Tue,09/11/18,tarde,2018-12-20
POA,BSB,370,Tue,09/11/18,tarde,2018-12-20
POA,BSB,421,Tue,09/11/18,tarde,2018-12-20
POA,BSB,421,Tue,09/11/18,tarde,2018-12-20
POA,BSB,467,Tue,09/11/18,tarde,2018-12-20
POA,BSB,490,Tue,09/11/18,tarde,2018-12-20
POA,BSB,496,Tue,09/11/18,tarde,2018-12-20
POA,BSB,533,Tue,09/11/18,tarde,2018-12-20
POA,BSB,584,Tue,09/11/18,tarde,2018-12-20
POA,RIO,327,Tue,09/11/18,tarde,2018-12-20
POA,RIO,349,Tue,09/11/18,tarde,2018-12-20
POA,RIO,358,Tue,09/11/18,tarde,2018-12-20
POA,RIO,364,Tue,09/11/18,tarde,2018-12-20
POA,RIO,400,Tue,09/11/18,tarde,2018-12-20
POA,RIO,452,Tue,09/11/18,tarde,2018-12-20
POA,RIO,483,Tue,09/11/18,tarde,2018-12-20
POA,RIO,495,Tue,09/11/18,tarde,2018-12-20
POA,RIO,610,Tue,09/11/18,tarde,2018-12-20
POA,RIO,611,Tue,09/11/18,tarde,2018-12-20
